teamName,season,sport,headCoach,stat,rank,value
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Save Pct,246,0.729
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Won-Lost-Tied Percentage,T-334,0.000
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Points Per Game,335,0.65
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Assists Per Game,T-331,0.18
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Saves Per Game,28,6.18
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Fouls Per Game,T-189,9.88
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Shots on Goal Per Game,326,3.29
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Total Points,335,11
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Shots Per Game,325,7.76
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Total Assists,T-331,3
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Penalty Kicks,T-245,0.000
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Corner Kicks Per Game,T-282,3.17
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Scoring Offense,T-255,0.94
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Shot Accuracy,142,0.469
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Total Goals,T-253,17
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Goals-Against Average,271,1.841
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Shutout Percentage,T-193,0.278
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Save Pct,188,0.756
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Won-Lost-Tied Percentage,T-273,0.306
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Points Per Game,T-243,2.83
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Assists Per Game,202,0.94
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Saves Per Game,52,5.67
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Fouls Per Game,159,9.56
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Shots on Goal Per Game,314,3.83
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Total Points,T-242,51
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Shots Per Game,318,8.17
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Total Assists,T-206,17
St. John's (NY) Red Storm,2019-20,Women's Soccer,Ian Stone,Penalty Kicks,T-1,1.000
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Corner Kicks Per Game,11,7.16
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Scoring Offense,1,4.08
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Shot Accuracy,195,0.452
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Total Goals,1,102
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Goals-Against Average,9,0.495
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Shutout Percentage,8,0.640
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Save Pct,195,0.750
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Won-Lost-Tied Percentage,1,0.960
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Points Per Game,1,12.24
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Assists Per Game,1,4.08
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Saves Per Game,335,1.44
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Fouls Per Game,72,8.16
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Shots on Goal Per Game,1,11.92
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Total Points,1,306
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Shots Per Game,1,26.40
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Total Assists,1,102
Stanford Cardinal,2019-20,Women's Soccer,Paul Ratcliffe,Penalty Kicks,T-135,0.857
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Corner Kicks Per Game,245,3.65
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Scoring Offense,261,0.94
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Shot Accuracy,258,0.426
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Total Goals,266,16
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Goals-Against Average,319,2.465
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Shutout Percentage,T-327,0.059
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Save Pct,301,0.688
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Won-Lost-Tied Percentage,317,0.176
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Points Per Game,263,2.53
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Assists Per Game,T-275,0.65
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Saves Per Game,56,5.59
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Fouls Per Game,222,10.29
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Shots on Goal Per Game,227,5.06
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Total Points,T-275,43
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Shots Per Game,200,11.88
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Total Assists,277,11
Stetson Hatters,2019-20,Women's Soccer,Chris Bergmann,Penalty Kicks,T-1,1.000
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Corner Kicks Per Game,34,6.05
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Scoring Offense,87,1.71
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Shot Accuracy,79,0.496
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Total Goals,T-68,36
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Goals-Against Average,117,1.138
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Shutout Percentage,T-77,0.429
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Save Pct,81,0.804
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Won-Lost-Tied Percentage,T-54,0.690
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Points Per Game,90,4.90
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Assists Per Game,78,1.48
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Saves Per Game,171,4.29
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Fouls Per Game,246,10.62
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Shots on Goal Per Game,109,6.38
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Total Points,73,103
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Shots Per Game,153,12.86
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Total Assists,T-64,31
Stony Brook Seawolves,2019-20,Women's Soccer,Tobi Bischof,Penalty Kicks,T-1,1.000
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Corner Kicks Per Game,273,3.31
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Scoring Offense,293,0.75
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Shot Accuracy,280,0.419
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Total Goals,T-305,12
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Goals-Against Average,245,1.630
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Shutout Percentage,T-222,0.250
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Save Pct,180,0.759
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Won-Lost-Tied Percentage,T-294,0.250
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Points Per Game,307,1.88
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Assists Per Game,315,0.38
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Saves Per Game,83,5.31
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Fouls Per Game,277,11.13
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Shots on Goal Per Game,312,3.88
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Total Points,314,30
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Shots Per Game,296,9.25
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Total Assists,315,6
Syracuse Orange,2019-20,Women's Soccer,Nicky Adams,Penalty Kicks,T-1,1.000
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Corner Kicks Per Game,28,6.23
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Scoring Offense,78,1.77
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Shot Accuracy,321,0.382
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Total Goals,T-56,39
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Goals-Against Average,154,1.258
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Shutout Percentage,127,0.364
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Save Pct,129,0.785
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Won-Lost-Tied Percentage,127,0.568
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Points Per Game,56,5.50
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Assists Per Game,27,1.95
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Saves Per Game,164,4.32
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Fouls Per Game,136,9.23
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Shots on Goal Per Game,105,6.41
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Total Points,38,121
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Shots Per Game,T-22,16.77
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Total Assists,24,43
TCU Horned Frogs,2019-20,Women's Soccer,Eric Bell,Penalty Kicks,T-163,0.667
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Corner Kicks Per Game,262,3.47
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Scoring Offense,T-264,0.89
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Shot Accuracy,64,0.503
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Total Goals,T-253,17
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Goals-Against Average,135,1.190
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Shutout Percentage,T-166,0.316
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Save Pct,27,0.842
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Won-Lost-Tied Percentage,T-231,0.395
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Points Per Game,T-266,2.47
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Assists Per Game,263,0.68
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Saves Per Game,19,6.74
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Fouls Per Game,299,11.68
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Shots on Goal Per Game,244,4.84
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Total Points,257,47
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Shots Per Game,284,9.63
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Total Assists,T-249,13
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,Penalty Kicks,T-245,0.000
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Corner Kicks Per Game,277,3.26
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Scoring Offense,T-200,1.21
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Shot Accuracy,169,0.462
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Total Goals,T-198,23
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Goals-Against Average,233,1.585
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Shutout Percentage,T-286,0.158
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Save Pct,228,0.738
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Won-Lost-Tied Percentage,T-191,0.447
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Points Per Game,200,3.37
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Assists Per Game,T-196,0.95
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Saves Per Game,127,4.74
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Fouls Per Game,139,9.26
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Shots on Goal Per Game,T-198,5.42
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Total Points,T-205,64
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Shots Per Game,204,11.74
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Total Assists,T-194,18
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,Penalty Kicks,T-1,1.000
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Corner Kicks Per Game,96,5.11
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Scoring Offense,T-145,1.44
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Shot Accuracy,150,0.468
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Total Goals,T-162,26
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Goals-Against Average,53,0.893
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Shutout Percentage,T-100,0.389
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Save Pct,104,0.795
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Won-Lost-Tied Percentage,T-105,0.583
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Points Per Game,T-144,4.06
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Assists Per Game,T-146,1.17
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Saves Per Game,250,3.67
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Fouls Per Game,119,8.94
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Shots on Goal Per Game,132,6.06
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Total Points,T-164,73
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Shots Per Game,146,12.94
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Total Assists,T-157,21
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,Penalty Kicks,T-148,0.750
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Corner Kicks Per Game,37,5.95
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Scoring Offense,T-15,2.32
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Shot Accuracy,245,0.433
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Total Goals,T-11,51
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Goals-Against Average,50,0.874
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Shutout Percentage,39,0.500
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Save Pct,130,0.785
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Won-Lost-Tied Percentage,T-45,0.705
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Points Per Game,11,7.18
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Assists Per Game,7,2.55
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Saves Per Game,280,3.32
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Fouls Per Game,153,9.45
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Shots on Goal Per Game,10,8.55
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Total Points,9,158
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Shots Per Game,5,19.73
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Total Assists,9,56
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,Penalty Kicks,T-1,1.000
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Corner Kicks Per Game,T-153,4.50
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Scoring Offense,T-79,1.75
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Shot Accuracy,298,0.401
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Total Goals,T-74,35
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Goals-Against Average,193,1.400
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Shutout Percentage,T-135,0.350
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Save Pct,157,0.773
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Won-Lost-Tied Percentage,T-117,0.575
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Points Per Game,T-63,5.40
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Assists Per Game,31,1.90
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Saves Per Game,109,4.95
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Fouls Per Game,26,6.95
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Shots on Goal Per Game,84,6.65
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Total Points,64,108
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Shots Per Game,27,16.60
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Total Assists,T-35,38
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,Penalty Kicks,T-245,0.000
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Corner Kicks Per Game,324,2.17
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Scoring Offense,T-255,0.94
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Shot Accuracy,85,0.492
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Total Goals,253,17
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Goals-Against Average,327,2.713
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Shutout Percentage,T-277,0.167
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Save Pct,317,0.667
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Won-Lost-Tied Percentage,T-238,0.389
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Points Per Game,280,2.28
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Assists Per Game,312,0.39
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Saves Per Game,113,4.89
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Fouls Per Game,9,6.11
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Shots on Goal Per Game,T-196,5.44
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Total Points,280,41
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Shots Per Game,234,11.06
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Total Assists,309,7
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,Penalty Kicks,T-245,0.000
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Corner Kicks Per Game,T-53,5.68
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Scoring Offense,245,1.05
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Shot Accuracy,327,0.377
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Total Goals,223,20
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Goals-Against Average,11,0.498
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Shutout Percentage,T-30,0.526
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Save Pct,4,0.889
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Won-Lost-Tied Percentage,T-131,0.553
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Points Per Game,T-228,3.00
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Assists Per Game,206,0.89
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Saves Per Game,182,4.21
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Fouls Per Game,112,8.79
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Shots on Goal Per Game,252,4.74
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Total Points,215,57
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Shots Per Game,163,12.58
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Total Assists,T-206,17
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,Penalty Kicks,T-1,1.000
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Corner Kicks Per Game,49,5.73
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Scoring Offense,T-33,2.09
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Shot Accuracy,270,0.422
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Total Goals,T-21,46
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Goals-Against Average,41,0.818
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Shutout Percentage,T-63,0.455
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Save Pct,71,0.806
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Won-Lost-Tied Percentage,29,0.750
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Points Per Game,49,5.59
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Assists Per Game,96,1.41
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Saves Per Game,277,3.41
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Fouls Per Game,244,10.59
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Shots on Goal Per Game,95,6.55
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Total Points,36,123
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Shots Per Game,T-47,15.50
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Total Assists,T-64,31
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,Penalty Kicks,T-148,0.750
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Corner Kicks Per Game,166,4.37
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Scoring Offense,T-103,1.63
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Shot Accuracy,164,0.464
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Total Goals,T-104,31
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Goals-Against Average,306,2.211
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Shutout Percentage,207,0.263
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Save Pct,311,0.672
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Won-Lost-Tied Percentage,T-244,0.368
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Points Per Game,T-101,4.68
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Assists Per Game,89,1.42
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Saves Per Game,138,4.63
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Fouls Per Game,T-292,11.53
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Shots on Goal Per Game,42,7.42
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Total Points,T-99,89
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Shots Per Game,39,16.00
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Total Assists,T-93,27
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,Penalty Kicks,T-163,0.667
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Corner Kicks Per Game,T-254,3.58
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Scoring Offense,T-200,1.21
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Shot Accuracy,65,0.503
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Total Goals,T-198,23
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Goals-Against Average,274,1.878
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Shutout Percentage,T-207,0.263
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Save Pct,247,0.728
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Won-Lost-Tied Percentage,T-244,0.368
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Points Per Game,196,3.47
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Assists Per Game,T-174,1.05
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Saves Per Game,122,4.79
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Fouls Per Game,321,12.37
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Shots on Goal Per Game,T-233,5.00
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Total Points,T-196,66
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Shots Per Game,274,9.95
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Total Assists,T-170,20
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,Penalty Kicks,T-1,1.000
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Corner Kicks Per Game,T-300,2.83
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Scoring Offense,T-278,0.83
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Shot Accuracy,167,0.462
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Total Goals,276,15
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Goals-Against Average,315,2.363
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Shutout Percentage,T-277,0.167
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,Save Pct,248,0.727
